============================================================
  Generated by:           Genus(TM) Synthesis Solution 21.17-s066_1
  Generated on:           Apr 10 2025  09:35:17 pm
  Module:                 topSystolicArray
  Operating conditions:   typical (balanced_tree)
  Wireload mode:          enclosed
  Area mode:              timing library
============================================================

           Instance                  Module       Cell Count  Cell Area  Net Area   Total Area       Wireload      
-------------------------------------------------------------------------------------------------------------------
topSystolicArray                                      289420 688076.564     0.000   688076.564 5K_hvratio_1_1 (D)  
  u_systolicArray              systolicArray_N16      248842 592267.886     0.000   592267.886 5K_hvratio_1_1 (D)  
    PerRow[15].PerCol[10].u_pe pe_250                    963   2221.632     0.000     2221.632 5K_hvratio_1_1 (D)  
    PerRow[15].PerCol[5].u_pe  pe_245                    956   2214.982     0.000     2214.982 5K_hvratio_1_1 (D)  
    PerRow[15].PerCol[4].u_pe  pe_244                    946   2213.918     0.000     2213.918 5K_hvratio_1_1 (D)  
    PerRow[14].PerCol[10].u_pe pe_234                    975   2325.904     0.000     2325.904 5K_hvratio_1_1 (D)  
    PerRow[14].PerCol[9].u_pe  pe_233                    974   2322.180     0.000     2322.180 5K_hvratio_1_1 (D)  
    PerRow[13].PerCol[10].u_pe pe_218                    980   2329.628     0.000     2329.628 5K_hvratio_1_1 (D)  
    PerRow[13].PerCol[9].u_pe  pe_217                    972   2321.382     0.000     2321.382 5K_hvratio_1_1 (D)  
    PerRow[13].PerCol[8].u_pe  pe_216                    974   2322.180     0.000     2322.180 5K_hvratio_1_1 (D)  
    PerRow[12].PerCol[9].u_pe  pe_201                    972   2321.382     0.000     2321.382 5K_hvratio_1_1 (D)  
    PerRow[12].PerCol[8].u_pe  pe_200                    974   2322.180     0.000     2322.180 5K_hvratio_1_1 (D)  
    PerRow[11].PerCol[8].u_pe  pe_184                    973   2321.914     0.000     2321.914 5K_hvratio_1_1 (D)  
    PerRow[11].PerCol[7].u_pe  pe_183                    974   2322.180     0.000     2322.180 5K_hvratio_1_1 (D)  
    PerRow[10].PerCol[8].u_pe  pe_168                    973   2321.914     0.000     2321.914 5K_hvratio_1_1 (D)  
    PerRow[10].PerCol[7].u_pe  pe_167                    974   2322.180     0.000     2322.180 5K_hvratio_1_1 (D)  
    PerRow[9].PerCol[9].u_pe   pe_153                    999   2335.746     0.000     2335.746 5K_hvratio_1_1 (D)  
    PerRow[9].PerCol[8].u_pe   pe_152                    996   2334.150     0.000     2334.150 5K_hvratio_1_1 (D)  
    PerRow[9].PerCol[7].u_pe   pe_151                    962   2320.318     0.000     2320.318 5K_hvratio_1_1 (D)  
    PerRow[8].PerCol[9].u_pe   pe_137                    963   2320.850     0.000     2320.850 5K_hvratio_1_1 (D)  
    PerRow[8].PerCol[6].u_pe   pe_134                    963   2320.850     0.000     2320.850 5K_hvratio_1_1 (D)  
    PerRow[15].PerCol[9].u_pe  pe_249                    946   2213.918     0.000     2213.918 5K_hvratio_1_1 (D)  
    PerRow[15].PerCol[7].u_pe  pe_247                    958   2215.780     0.000     2215.780 5K_hvratio_1_1 (D)  
    PerRow[14].PerCol[7].u_pe  pe_231                    962   2320.318     0.000     2320.318 5K_hvratio_1_1 (D)  
    PerRow[14].PerCol[5].u_pe  pe_229                    962   2320.318     0.000     2320.318 5K_hvratio_1_1 (D)  
    PerRow[13].PerCol[7].u_pe  pe_215                    962   2320.318     0.000     2320.318 5K_hvratio_1_1 (D)  
    PerRow[8].PerCol[7].u_pe   pe_135                    971   2320.584     0.000     2320.584 5K_hvratio_1_1 (D)  
    PerRow[7].PerCol[7].u_pe   pe_119                    972   2321.382     0.000     2321.382 5K_hvratio_1_1 (D)  
    PerRow[7].PerCol[6].u_pe   pe_118                    972   2321.382     0.000     2321.382 5K_hvratio_1_1 (D)  
    PerRow[15].PerCol[8].u_pe  pe_248                    958   2215.780     0.000     2215.780 5K_hvratio_1_1 (D)  
    PerRow[14].PerCol[8].u_pe  pe_232                    963   2320.850     0.000     2320.850 5K_hvratio_1_1 (D)  
    PerRow[12].PerCol[10].u_pe pe_202                    975   2324.042     0.000     2324.042 5K_hvratio_1_1 (D)  
    PerRow[11].PerCol[10].u_pe pe_186                    976   2325.106     0.000     2325.106 5K_hvratio_1_1 (D)  
    PerRow[11].PerCol[4].u_pe  pe_180                    972   2321.382     0.000     2321.382 5K_hvratio_1_1 (D)  
